"ID","volume","SurfTerr","Perc10","Perc15","Perc20","Perc25","Perc30","Perc35","Perc40","Perc45","Perc50","Perc55","Perc60","Perc65","Perc70","Perc75","Perc80","Perc85","Perc90_","Perc95","Cum1","Cum2","Cum3","Cum4","Cum5","Cum6","Cum7","Cum8","Cum9","Hsd","Hskew","Hkurt","Hentropy","Hmean"
178,232.63360844518,33.5240781852532,7.34,8.74,9.9,10.7075,11.38,11.89,12.31,12.7,13.11,13.48,13.9,14.3,14.695,15.07,15.52,16.13,16.77,17.73,0.240529164161155,3.75225496091401,7.97354179194227,15.3818400481058,27.4804570054119,51.7498496692724,79.4708358388455,94.7564642212868,99.2784125075165,3.64025149356081,-0.659105303436667,3.24073665547138,0.84423443581812,12.6010028860029
179,401.874691492734,48.0462329036944,11.26,12.54,13.398,14.01,14.58,15.03,15.47,15.9,16.37,16.74,17.11,17.506,17.91,18.26,18.66,19.06,19.5,20.238,0.213460572576595,1.39377197388247,2.54897036664992,4.92214967353089,10.7734806629834,22.8402812656956,46.5971873430437,76.2556504269212,97.2250125565043,3.45965460449547,-1.11629091134304,4.70128683391541,0.815263819246718,15.7695517890772
180,102.907992299828,22.9650261710068,4.38,5.4,6.27,7,7.77,8.3,8.89,9.51,10.01,10.5135,11.02,11.5,11.94,12.37,12.86,13.43,14.01,14.8315,0,6.99736732714424,15.9207426908688,27.643064985451,43.3282527365942,61.5629763059443,81.3911597616738,95.1364833033116,99.4457530829985,3.54689254180501,-0.251807470736447,2.23727288010731,0.890271812527879,9.63471321695761
181,550.18213717124,54.4004245290628,7.202,9.29,11.082,13.09,14.83,17.2,19.144,20.41,21.52,22.41,22.98,23.5,24.06,24.65,25.16,25.636,26.294,27.12,1.51273885350318,7.70966029723992,14.822186836518,23.3545647558386,30.8784501061571,37.9909766454352,50.0663481953291,74.6815286624204,97.1204883227176,7.23492241528813,-0.700280552482545,2.2374638289559,0.913260469829721,18.8175308478174
182,458.115092267702,46.2884542374973,10.83,13.1595,14.696,15.56,16.379,17.01,17.68,18.18,18.64,19.12,19.55,20,20.39,20.8,21.21,21.69,22.27,22.9435,0.290934481554754,1.59432095892005,4.29419294774817,8.46037472361224,13.3946235307809,21.8433608751309,39.1248690794833,65.8792040032585,92.5986267892471,4.48766750541809,-1.14733274501872,4.03117400906971,0.846259517162188,17.5973353502444
183,327.520964154856,38.6793058952455,16.56,17.44,18.126,18.65,19.11,19.4955,19.85,20.23,20.59,20.9315,21.328,21.73,22.17,22.56,23.02,23.52,24.15,25.0535,0.141515502380033,0.694712466229255,1.26077447574939,1.95548694197864,3.67940306188087,13.8685192332433,44.1013765598868,80.2907500321626,97.6199665508813,3.39352954736179,-1.27342464704308,7.28222113617805,0.756226155108167,20.3499819912529
184,385.064139773934,45.5200713817384,4.379,5.44,6.4,7.41,8.33,9.4215,10.606,11.8215,13.395,14.69,15.72,16.46,17.23,17.77,18.26,18.75,19.37,20.3,1.94074265752361,12.3431233018502,24.8932591538362,36.9129253460991,46.3319963772804,55.3758571613404,70.0996247897529,91.7841894164834,99.0037521024712,5.73441919169743,-0.196843824111188,1.71998154005282,0.922121885956379,12.5692833117723
185,311.177287178342,24.1774341609958,6.39,9.45,11.77,14.07,16.506,18.092,19.59,21.2,22.78,23.95,24.85,25.69,26.51,27.35,28.04,28.79,29.658,30.834,3.29689703808181,11.9534555712271,16.607898448519,24.9647390691114,33.392101551481,44.7108603667137,58.3392101551481,80.6593794076164,97.4083215796897,8.45401183709798,-0.59875044198074,2.20629061111656,0.93130659386651,20.3591662259827
186,113.338377052432,21.3176596242547,2.86,3.28,3.658,4.1775,4.67,5.16,5.53,6.0255,6.46,7.08,7.55,7.96,8.443,8.9725,9.602,10.4315,11.411,13.61,0,19.588062211013,38.8398486759142,57.08280790248,75.9562841530055,87.3476250525431,92.9382093316519,96.5111391340899,99.0332072299285,3.40472112858818,0.746050083614954,3.16522631465849,0.847704329022911,6.94311764705882
187,102.958005507658,20.4887886872111,4.198,4.892,5.64,6.32,7.034,7.738,8.41,9.03,9.71,10.27,10.87,11.54,12.336,13.15,14.09,14.86,15.9,17.102,0,8.36972343522562,21.6157205240175,35.2983988355167,50.1091703056769,65.5385735080058,77.3653566229985,88.4279475982533,96.17903930131,4.3032898467235,0.161951070873656,2.09459949180266,0.934890470740132,9.83653692251728
